code,title,img,auth,pub
10986993,1939 선상 카니발 1,http://image.yes24.com/momo/TopCate0001/kepub/L_175350.jpg,페인 저,북팔(BookPal)
10986992,1939 선상 카니발 2,http://image.yes24.com/momo/TopCate0001/kepub/L_175349.jpg,페인 저,북팔(BookPal)
10986991,1939 선상 카니발 3,http://image.yes24.com/momo/TopCate0001/kepub/L_175348.jpg,페인 저,북팔(BookPal)
61409576,1945년 여름,http://image.yes24.com/goods/61409576/800x0,김석범 저,보고사
91756857,1974,http://image.yes24.com/goods/91756857/800x0,데이비드 피스 저/김시현 역,문학동네
91756858,1977,http://image.yes24.com/goods/91756858/800x0,데이비드 피스 저/김시현 역,문학동네
9262068,1980,http://image.yes24.com/momo/TopCate146/MidCate09/14586670.jpg,노재열 저,산지니
70933652,"1982, 서울",http://image.yes24.com/goods/70933652/800x0,원영모 저,좋은땅
70859088,1984,http://image.yes24.com/goods/70859088/800x0,조지오웰 저/하소연 역,자화상
7526562,1984,http://image.yes24.com/momo/TopCate0001/kepub/L_97387.jpg,조지오웰 저,책만드는집
7911240,1984,http://image.yes24.com/momo/TopCate0001/kepub/L_103373.jpg,조지오웰 저,문학동네
9467816,1984,http://image.yes24.com/momo/TopCate1739/MidCate009/17577441.jpg,조지오웰 저,부북스(BooBooks)
11393592,1984,http://image.yes24.com/momo/TopCate0001/kepub/L_187954.jpg,조지 오웰 저,푸른책들
12550441,1984,http://image.yes24.com/momo/TopCate0001/kepub/L_211145.jpg,조지오웰 저,현대문화센타
29138027,1984,http://image.yes24.com/momo/TopCate0001/kepub/L_492749.jpg,조지오웰 저,코너스톤(도서)
39010248,1984,http://image.yes24.com/goods/39010248/800x0,조지 오웰 저,말과침묵
44338375,1984,http://image.yes24.com/goods/44338375/800x0,조지 오웰 저,바로이북
15478225,1984 ,http://image.yes24.com/momo/TopCate296/MidCate006/29552559(1).jpg,조지오웰 저,북로드
8909470,1984 (한글판),http://image.yes24.com/momo/TopCate0001/kepub/L_133070.jpg,조지오웰 저,더클래식
11042894,1984 (한글판+영문판)  - 온스토리 세계문학 010,http://image.yes24.com/momo/TopCate0001/kepub/L_182654.jpg,조지오웰 저,온스토리
32308759,1984 - 1일1독 013,http://image.yes24.com/momo/TopCate0001/kepub/L_534826.jpg,조지오웰 저,북스데이
63829126,1984 - 더디 세계문학 011,http://image.yes24.com/goods/63829126/800x0,조지오웰 저/임소연 역,더디
61560334,1984 - 에디터스 컬렉션,http://image.yes24.com/goods/61560334/800x0,조지오웰 저/김병익 역,문예출판사
19107731,1984년,http://image.yes24.com/momo/TopCate0001/kepub/L_345494.jpg,조지오웰 저,을유문화사
8778629,1984년 - 문예 세계문학선 007,http://image.yes24.com/momo/TopCate0001/kepub/L_129945.jpg,조지 오웰 저 / 김병익 역,문예출판사
11010592,1984년/동물농장 - 월드북 118,http://image.yes24.com/momo/TopCate75/MidCate07/7468530.jpg,조지오웰 저,동서문화사
6994559,1994년 어느 늦은 밤,http://image.yes24.com/momo/TopCate0001/kepub/L_79452.jpg,유현산 저,네오픽션
4507980,19번째 아내 1,http://image.yes24.com/momo/TopCate76/MidCate01/7504903.jpg,데이비드 에버쇼프 저/노태복 역,리베르
4507979,19번째 아내 2,http://image.yes24.com/momo/TopCate76/MidCate01/7504302.jpg,데이비드 에버쇼프 저/노태복 역,리베르
95335638,19세기 러시아 문학 산책,http://image.yes24.com/goods/95335638/800x0,김연경 저,민음사
89432132,19세기 런던에서 실제 있었던 일,http://image.yes24.com/goods/89432132/800x0,로다 브로턴 저,올푸리
14088626,19호,http://image.yes24.com/momo/TopCate0001/kepub/L_242527.jpg,조광우 저,아르테미스
62097806,19호실로 가다,http://image.yes24.com/goods/62097806/800x0,도리스 레싱 저/김승욱 역,문예출판사
7301584,"1F/B1 일층, 지하 일층",http://image.yes24.com/momo/TopCate479/MidCate002/46912019.jpg,김중혁 저,문학동네
89904043,1Q84 1,http://image.yes24.com/momo/TopCate75/MidCate07/7461885.jpg,무라카미 하루키 저/양윤옥 역,문학동네
89904044,1Q84 2,http://image.yes24.com/momo/TopCate76/MidCate04/7536367.jpg,무라카미 하루키 저/양윤옥 역,문학동네
89904045,1Q84 3,http://image.yes24.com/momo/TopCate87/MidCate05/8641731.jpg,무라카미 하루키 저/양윤옥 역,문학동네
11529900,1달러에 목숨을 걸고 1,http://image.yes24.com/momo/TopCate0001/kepub/L_143618.jpg,최수돈 저,행복에너지
11529899,1달러에 목숨을 걸고 2,http://image.yes24.com/momo/TopCate0001/kepub/L_143619.jpg,최수돈 저,행복에너지
60637648,1등 인생,http://image.yes24.com/goods/60637648/800x0,티르미르 저,FA북스
74265146,1분 1시간 1일 나와 승리 사이,http://image.yes24.com/goods/74265146/800x0,웬들린 밴 드라닌 저/이계순 역,씨드북
38900520,1파운드의 슬픔,http://image.yes24.com/momo/TopCate0001/kepub/L_633603.jpg,이시다 이라 저/권남희 역,예문사
41851483,"20, 나의 우주",http://image.yes24.com/momo/TopCate0001/kepub/L_662178.jpg,노다연 저,e퍼플
36974193,2001 스페이스 오디세이,http://image.yes24.com/momo/TopCate0001/kepub/L_612928.jpg,아서 C. 클라크 저,황금가지
5331462,2001년의 베스트 추리소설 - 오해,http://image.yes24.com/momo/TopCate0001/kepub/L_39280.jpg,한국추리작가협회 편,태동출판사
35520448,2006 중국어문학연감,http://image.yes24.com/momo/TopCate0001/kepub/L_601409.jpg,중국학@센터 저,학고방
36974192,2010 스페이스 오디세이,http://image.yes24.com/momo/TopCate0001/kepub/L_612929.jpg,아서 C. 클라크 저,황금가지
5179216,2010 제1회 젊은 작가상 수상 작품집,http://image.yes24.com/momo/TopCate0001/kepub/L_33129.jpg,"김중혁,편혜영,이장욱,배명훈,김미월,정소현,김성중 저",문학동네
12151701,2011 제2회 젊은작가상 수상작품집,http://image.yes24.com/momo/TopCate0001/kepub/L_204780.jpg,"정용준,김성중,이장욱,김유진,김사과,김이환,김애란 저",문학동네
7127017,2012 신예작가,http://image.yes24.com/momo/TopCate0001/kepub/L_81937.jpg,소설가협회 저,타임비
12141914,2012 제3회 젊은작가상 수상작품집,http://image.yes24.com/goods/12141914/800x0,"이영훈,손보미,황정은,김성중,정소현,김미월,김이설 저",문학동네
8887846,2013 제4회 젊은작가상 수상작품집,http://image.yes24.com/momo/TopCate0001/kepub/L_132466.jpg,"김종옥,손보미,정용준,황정은,박솔뫼,김미월,이장욱 저",문학동네
24813774,2013 즐거운 사라,http://image.yes24.com/momo/TopCate0001/kepub/L_439476.jpg,마광수 저,책읽는귀족
13251952,2014 제5회 젊은작가상 수상작품집,http://image.yes24.com/momo/TopCate0001/kepub/L_221935.jpg,"최은영,최은미,손보미,기준영,윤이형,황정은,조해진 저",문학동네
18251135,2015 제6회 젊은작가상 수상작품집,http://image.yes24.com/momo/TopCate0001/kepub/L_336396.jpg,"최은미,손보미,윤이형,이장욱 저",문학동네
23769094,2015 제9회 해양문학상 수상 작품집,http://image.yes24.com/momo/TopCate0001/kepub/L_409051.jpg,양진영 외 저,한국해양재단
27835786,2016 제7회 젊은작가상 수상작품집,http://image.yes24.com/goods/27835786/800x0,"기준영,정용준,장강명,김솔,최정화,오한기,김금희 저",문학동네
57552620,2017 새파란 문학,http://image.yes24.com/goods/57552620/800x0,"성수정, 최태일, 김유나, 서지수, 김현주, 김태완 저",낙산재
57552621,2017 소설예찬,http://image.yes24.com/goods/57552621/800x0,"유은비, 황원준, 오명훈, 정유나 저",낙산재
38827288,2017 제8회 젊은작가상 수상작품집,http://image.yes24.com/goods/38827288/800x0,"최은미,최은영,백수린,김금희,임현,강화길,천희란 저",문학동네
18497178,2017년,http://image.yes24.com/momo/TopCate0001/kepub/L_338281.jpg,이정원 저,u-paper(유페이퍼)
